Site_code,Mean_NDVI,WY
BAFB 1C,0.3483999967575070,2018
BAFB 2B,0.3515999913215640,2018
BAFB 3C,0.3361999988555910,2018
BR 13,0.5194000005722050,2018
BR 8,0.4934000074863430,2018
DC 1,0.8567000031471250,2019
DC 2,0.817799985408783,2019
DC 13,0.7953000068664550,2019
DC 12,0.7310000061988830,2019
DC 11,0.7286999821662900,2019
DC 17,0.6399000287055970,2019
DC 3,0.7795000076293950,2019
DC 4,0.8230999708175660,2019
DC 19,0.3653999865055080,2019
DC 5,0.7347999811172490,2019
NA,0.7314000129699710,2019
DC 6,0.7330999970436100,2019
DC 18,0.5322999954223630,2019
DC 7,0.6384000182151790,2019
DC 8,0.6460000276565550,2019
DC 15,0.6480000019073490,2019
DC 16,0.6728000044822690,2019
DC 9,0.6970999836921690,2019
DC 10,0.5425999760627750,2019
DC 14,0.5302000045776370,2019
BR 1,0.7348999977111820,2019
BR 2,0.5594000220298770,2019
BR 3,0.7214999794960020,2019
BR 4,0.7275000214576720,2019
BR 5,0.7520999908447270,2019
BR 6,0.7106999754905700,2019
BR 7,0.5860999822616580,2019
BR 9,0.7813000082969670,2019
BR 11,0.5078999996185300,2019
BR 12,0.3684999942779540,2019
BAFB 1C,0.4117000102996830,2019
BAFB 2B,0.45489999651908900,2019
BAFB 3C,0.46160000562667800,2019
BR 13,0.5529999732971190,2019
BR 8,0.548799991607666,2019
DC 1,0.7720000147819520,2020
DC 2,0.779699981212616,2020
DC 13,0.7724000215530400,2020
DC 12,0.732699990272522,2020
DC 11,0.7200999855995180,2020
DC 17,0.611299991607666,2020
DC 3,0.6765000224113460,2020
DC 4,0.771399974822998,2020
DC 19,0.21799999475479100,2020
DC 5,0.6603000164031980,2020
NA,0.6887999773025510,2020
DC 6,0.609499990940094,2020
DC 18,0.4514000117778780,2020
DC 7,0.5121999979019170,2020
DC 8,0.597100019454956,2020
DC 15,0.579800009727478,2020
DC 16,0.6128000020980840,2020
DC 9,0.608299970626831,2020
DC 10,0.45509999990463300,2020
DC 14,0.4408999979496000,2020
BR 1,0.708299994468689,2020
BR 2,0.3497999906539920,2020
BR 3,0.7017999887466430,2020
BR 4,0.6797000169754030,2020
BR 5,0.6643000245094300,2020
BR 6,0.6777999997138980,2020
BR 7,0.5648000240325930,2020
BR 9,0.7398999929428100,2020
BR 11,0.4032999873161320,2020
BR 12,0.33889999985694900,2020
BAFB 1C,0.3522000014781950,2020
BAFB 2B,0.3637999892234800,2020
BAFB 3C,0.35429999232292200,2020
BR 13,0.4449999928474430,2020
BR 8,0.4586000144481660,2020
DC 1,0.8381999731063840,2021
DC 2,0.8026999831199650,2021
DC 13,0.8021000027656560,2021
DC 12,0.7483000159263610,2021
DC 11,0.7095999717712400,2021
DC 17,0.6378999948501590,2021
DC 3,0.667900025844574,2021
DC 4,0.789900004863739,2021
DC 19,0.27549999952316300,2021
DC 5,0.6898000240325930,2021
NA,0.7035999894142150,2021
DC 6,0.635699987411499,2021
DC 18,0.4756999909877780,2021
DC 7,0.5799999833107000,2021
DC 8,0.637499988079071,2021
DC 15,0.602400004863739,2021
DC 16,0.636900007724762,2021
DC 9,0.6262000203132630,2021
DC 10,0.47780001163482700,2021
DC 14,0.42879998683929400,2021
BR 1,0.7031999826431270,2021
BR 2,0.5515999794006350,2021
BR 3,0.7605999708175660,2021
BR 4,0.7106000185012820,2021
BR 5,0.6699000000953670,2021
BR 6,0.6938999891281130,2021
BR 7,0.5594000220298770,2021
BR 9,0.7204999923706060,2021
BR 11,0.43299999833107000,2021
BR 12,0.382999986410141,2021
BAFB 1C,0.40149998664856000,2021
BAFB 2B,0.39089998602867100,2021
