Site_code,Mean_NDVI,WY
DC 5,0.7049999833,2018
NA,0.6923000216,2018
DC 6,0.6344000101,2018
DC 18,0.4334000051,2018
DC 7,0.5340999961,2018
DC 8,0.614199996,2018
DC 15,0.5600000024,2018
DC 16,0.6018000245,2018
DC 9,0.665899992,2018
DC 10,0.4783000052,2018
DC 14,0.5857999921,2018
BR 1,0.7520999908,2018
BR 2,0.4058000147,2018
BR 3,0.7404000163,2018
BR 4,0.711499989,2018
BR 5,0.6733999848,2018
BR 6,0.6554999948,2018
BR 7,0.5292000175,2018
BR 9,0.7052000165,2018
BR 11,0.5127000213,2018
BR 12,0.2809999883,2018
BAFB 1C,0.3731999993,2018
BAFB 2B,0.3257000148,2018
BAFB 3C,0.3635999858,2018
BR 13,0.4411999881,2018
BR 8,0.4867999852,2018
DC 1,0.8567000031,2019
DC 2,0.8177999854,2019
DC 13,0.7953000069,2019
DC 12,0.7310000062,2019
DC 11,0.7286999822,2019
DC 17,0.6399000287,2019
DC 3,0.7795000076,2019
DC 4,0.8230999708,2019
DC 19,0.3653999865,2019
DC 5,0.7347999811,2019
NA,0.731400013,2019
DC 6,0.733099997,2019
DC 18,0.5322999954,2019
DC 7,0.6384000182,2019
DC 8,0.6460000277,2019
DC 15,0.6480000019,2019
DC 16,0.6728000045,2019
DC 9,0.6970999837,2019
DC 10,0.5425999761,2019
DC 14,0.5302000046,2019
BR 1,0.7348999977,2019
BR 2,0.559400022,2019
BR 3,0.7214999795,2019
BR 4,0.7275000215,2019
BR 5,0.7520999908,2019
BR 6,0.7106999755,2019
BR 7,0.5860999823,2019
BR 9,0.7813000083,2019
BR 11,0.5078999996,2019
BR 12,0.3684999943,2019
BAFB 1C,0.4117000103,2019
BAFB 2B,0.4548999965,2019
BAFB 3C,0.4616000056,2019
BR 13,0.5529999733,2019
BR 8,0.5487999916,2019
DC 1,0.7720000148,2020
DC 2,0.7796999812,2020
DC 13,0.7724000216,2020
DC 12,0.7326999903,2020
DC 11,0.7200999856,2020
DC 17,0.6112999916,2020
DC 3,0.6765000224,2020
DC 4,0.7713999748,2020
DC 19,0.2179999948,2020
DC 5,0.6603000164,2020
NA,0.6887999773,2020
DC 6,0.6094999909,2020
DC 18,0.4514000118,2020
DC 7,0.5121999979,2020
DC 8,0.5971000195,2020
DC 15,0.5798000097,2020
DC 16,0.6128000021,2020
DC 9,0.6082999706,2020
DC 10,0.4550999999,2020
DC 14,0.4408999979,2020
BR 1,0.7082999945,2020
BR 2,0.3497999907,2020
BR 3,0.7017999887,2020
BR 4,0.679700017,2020
BR 5,0.6643000245,2020
BR 6,0.6777999997,2020
BR 7,0.564800024,2020
BR 9,0.7398999929,2020
BR 11,0.4032999873,2020
BR 12,0.3388999999,2020
BAFB 1C,0.3522000015,2020
BAFB 2B,0.3637999892,2020
BAFB 3C,0.3542999923,2020
BR 13,0.4449999928,2020
BR 8,0.4586000144,2020
DC 1,0.8381999731,2021
DC 2,0.8026999831,2021
DC 13,0.8021000028,2021
DC 12,0.7483000159,2021
DC 11,0.7095999718,2021
DC 17,0.6378999949,2021
DC 3,0.6679000258,2021
DC 4,0.7899000049,2021
DC 19,0.2754999995,2021
DC 5,0.689800024,2021
NA,0.7035999894,2021
DC 6,0.6356999874,2021
DC 18,0.475699991,2021
DC 7,0.5799999833,2021
DC 8,0.6374999881,2021
DC 15,0.6024000049,2021
DC 16,0.6369000077,2021
DC 9,0.6262000203,2021
DC 10,0.4778000116,2021
DC 14,0.4287999868,2021
BR 1,0.7031999826,2021
BR 2,0.5515999794,2021
BR 3,0.7605999708,2021
BR 4,0.7106000185,2021
BR 5,0.6699000001,2021
BR 6,0.6938999891,2021
BR 7,0.559400022,2021
BR 9,0.7204999924,2021
BR 11,0.4329999983,2021
BR 12,0.3829999864,2021
BAFB 1C,0.4014999866,2021
